    nSoil_Types           4398
        ID     CLAY[%]     SAND[%]   Bd_mu[gcm-3]       nSamples
      3299          48          21          1.346         151261
      3300          48          22          1.348         288657
      3301          48          23          1.386         647485
      3302          48          24          1.402        1194217
      3303          48          25          1.414        1989222
      3304          48          26          1.436        2989486
      3305          48          27          1.444        4036985
      3306          48          28          1.438        4518472
      3307          48          29          1.428        4246377
      3308          48          30          1.419        3556431
      3309          48          31          1.409        2921138
      3310          48          32          1.392        2293374
      3311          48          33          1.356        1692009
      3312          48          34          1.309        1380374
      3313          48          35          1.285        1405818
      3314          48          36          1.291        1493697
      3315          48          37          1.308        1456771
      3316          48          38          1.331        1349051
      3317          48          39          1.350        1121667
      3318          48          40          1.361         868646
      3319          48          41          1.369         758283
      3320          48          42          1.373         630074
      3321          48          43          1.366         423354
      3322          48          44          1.340         270358
      3323          48          45          1.335         115448
      3324          48          46          1.396          16042
      3325          48          47          1.539           3233
      3326          48          48          1.583            947
      3327          48          49          1.586            204
      3328          48          50          1.574             61
      3329          49           3          1.690              1
      3330          49           4          1.724              2
      3331          49           5          1.550              9
      3332          49           6          1.606             44
      3333          49           7          1.599            177
      3334          49           8          1.574            837
      3335          49           9          1.588           2901
      3336          49          10          1.581           5428
      3337          49          11          1.581           8064
      3338          49          12          1.568          10143
      3339          49          13          1.555          13349
      3340          49          14          1.530          21703
      3341          49          15          1.513          35229
      3342          49          16          1.496          54060
      3343          49          17          1.476          72504
      3344          49          18          1.454          86301
      3345          49          19          1.418          90243
      3346          49          20          1.345         103574
      3347          49          21          1.278         168518
      3348          49          22          1.306         366011
      3349          49          23          1.352         727043
      3350          49          24          1.372        1252047
      3351          49          25          1.394        2070392
      3352          49          26          1.409        2929143
      3353          49          27          1.414        3614555
      3354          49          28          1.416        3669579
      3355          49          29          1.422        3227471
      3356          49          30          1.428        2597934
      3357          49          31          1.422        1930486
      3358          49          32          1.393        1326225
      3359          49          33          1.335         999247
      3360          49          34          1.299         957797
      3361          49          35          1.297        1004634
      3362          49          36          1.308         987569
      3363          49          37          1.323         858438
      3364          49          38          1.340         751495
      3365          49          39          1.354         574609
      3366          49          40          1.367         516732
      3367          49          41          1.374         549343
      3368          49          42          1.368         428192
      3369          49          43          1.350         287175
      3370          49          44          1.338         135221
      3371          49          45          1.362          23580
      3372          49          46          1.520           2651
      3373          49          47          1.582            760
      3374          49          48          1.595            181
      3375          49          49          1.571             39
      3376          50           3          1.690              1
      3377          50           4          1.645              2
      3378          50           5          1.556             15
      3379          50           6          1.571             41
      3380          50           7          1.590            206
      3381          50           8          1.593            845
      3382          50           9          1.599           2501
      3383          50          10          1.584           5064
      3384          50          11          1.579           7485
      3385          50          12          1.562          10221
      3386          50          13          1.537          15792
      3387          50          14          1.520          26018
      3388          50          15          1.509          38187
      3389          50          16          1.490          52719
      3390          50          17          1.469          63342
      3391          50          18          1.437          67467
      3392          50          19          1.358          75145
      3393          50          20          1.242         108144
      3394          50          21          1.209         216445
      3395          50          22          1.269         441151
      3396          50          23          1.328         814973
      3397          50          24          1.360        1431092
      3398          50          25          1.382        2332190
      3399          50          26          1.391        2940427
      3400          50          27          1.402        3224223
      3401          50          28          1.418        3027989
      3402          50          29          1.436        2534187
      3403          50          30          1.442        1882479
      3404          50          31          1.425        1218231
      3405          50          32          1.374         815824
      3406          50          33          1.320         718312
      3407          50          34          1.306         722453
      3408          50          35          1.310         703914
      3409          50          36          1.317         595070
      3410          50          37          1.329         467971
      3411          50          38          1.342         362737
      3412          50          39          1.362         316183
      3413          50          40          1.375         407087
      3414          50          41          1.369         415609
      3415          50          42          1.360         320082
      3416          50          43          1.359         148094
      3417          50          44          1.373          25694
      3418          50          45          1.499           2483
      3419          50          46          1.585            672
      3420          50          47          1.598            180
      3421          50          48          1.572             35
      3422          50          49          1.603              2
      3423          51           4          1.531              5
      3424          51           5          1.518             19
      3425          51           6          1.589             24
      3426          51           7          1.617            155
      3427          51           8          1.600            647
      3428          51           9          1.612           2203
      3429          51          10          1.592           4456
      3430          51          11          1.573           7145
      3431          51          12          1.555          11199
      3432          51          13          1.530          18005
      3433          51          14          1.518          27880
      3434          51          15          1.504          37180
      3435          51          16          1.490          43919
      3436          51          17          1.468          46006
      3437          51          18          1.395          49090
      3438          51          19          1.244          68692
      3439          51          20          1.160         134123
      3440          51          21          1.193         270815
      3441          51          22          1.274         499102
      3442          51          23          1.329         908579
      3443          51          24          1.355        1542274
      3444          51          25          1.372        2222887
      3445          51          26          1.388        2619743
      3446          51          27          1.410        2698193
      3447          51          28          1.434        2408844
      3448          51          29          1.450        1836368
      3449          51          30          1.441        1165460
      3450          51          31          1.398         709057
      3451          51          32          1.342         552828
      3452          51          33          1.316         533240
      3453          51          34          1.314         515511
      3454          51          35          1.316         414037
      3455          51          36          1.325         278422
      3456          51          37          1.338         196269
      3457          51          38          1.357         193497
      3458          51          39          1.375         305549
      3459          51          40          1.373         400221
      3460          51          41          1.363         391159
      3461          51          42          1.365         239032
      3462          51          43          1.378          48326
      3463          51          44          1.458           3567
      3464          51          45          1.588            657
      3465          51          46          1.595            206
      3466          51          47          1.604             19
      3467          52           4          1.580              4
      3468          52           5          1.621              5
      3469          52           6          1.618             14
      3470          52           7          1.626            105
      3471          52           8          1.617            603
      3472          52           9          1.610           2105
      3473          52          10          1.594           4154
      3474          52          11          1.571           6893
      3475          52          12          1.546          12403
      3476          52          13          1.529          18754
      3477          52          14          1.519          26027
      3478          52          15          1.509          31042
      3479          52          16          1.496          32755
      3480          52          17          1.422          33188
      3481          52          18          1.247          46345
      3482          52          19          1.130          97553
      3483          52          20          1.136         199469
      3484          52          21          1.219         339219
      3485          52          22          1.299         596459
      3486          52          23          1.338        1074786
      3487          52          24          1.361        1661043
      3488          52          25          1.382        2180250
      3489          52          26          1.404        2465776
      3490          52          27          1.430        2361371
      3491          52          28          1.451        1874293
      3492          52          29          1.449        1199599
      3493          52          30          1.414         679265
      3494          52          31          1.360         467710
      3495          52          32          1.329         416490
      3496          52          33          1.319         397065
      3497          52          34          1.317         307140
      3498          52          35          1.325         181107
      3499          52          36          1.345         110655
      3500          52          37          1.360         110654
      3501          52          38          1.372         205842
      3502          52          39          1.376         354302
      3503          52          40          1.370         432492
      3504          52          41          1.368         370696
      3505          52          42          1.377         113884
      3506          52          43          1.416           8580
      3507          52          44          1.570            792
      3508          52          45          1.599            181
      3509          52          46          1.598             24
      3510          53           4          1.560              1
      3511          53           5          1.697              7
      3512          53           6          1.672             15
      3513          53           7          1.647             91
      3514          53           8          1.630            564
      3515          53           9          1.617           1822
      3516          53          10          1.598           3711
      3517          53          11          1.562           6582
      3518          53          12          1.538          11504
      3519          53          13          1.527          16376
      3520          53          14          1.517          20099
      3521          53          15          1.516          20729
      3522          53          16          1.458          20844
      3523          53          17          1.247          30402
      3524          53          18          1.116          73145
      3525          53          19          1.110         161501
      3526          53          20          1.176         278115
      3527          53          21          1.273         438197
      3528          53          22          1.330         769777
      3529          53          23          1.355        1221241
      3530          53          24          1.378        1712872
      3531          53          25          1.401        2170453
      3532          53          26          1.425        2249677
      3533          53          27          1.446        1876507
      3534          53          28          1.452        1240241
      3535          53          29          1.424         687728
      3536          53          30          1.370         427840
      3537          53          31          1.338         339988
      3538          53          32          1.326         293495
      3539          53          33          1.318         222625
      3540          53          34          1.324         124309
      3541          53          35          1.356          67434
      3542          53          36          1.382          59185
      3543          53          37          1.374         109531
      3544          53          38          1.372         245682
      3545          53          39          1.373         411001
      3546          53          40          1.373         469086
      3547          53          41          1.379         234765
      3548          53          42          1.394          27570
      3549          53          43          1.517           1153
      3550          53          44          1.596            199
      3551          53          45          1.575             28
      3552          54           4          1.666              1
      3553          54           5          1.698              4
      3554          54           6          1.640             13
      3555          54           7          1.661             79
      3556          54           8          1.651            515
      3557          54           9          1.632           1324
      3558          54          10          1.585           3123
      3559          54          11          1.554           5796
      3560          54          12          1.531           8858
      3561          54          13          1.521          10802
      3562          54          14          1.526          11658
      3563          54          15          1.501          11461
      3564          54          16          1.276          18329
      3565          54          17          1.132          52587
      3566          54          18          1.112         132723
      3567          54          19          1.165         242803
      3568          54          20          1.258         352263
      3569          54          21          1.335         581457
      3570          54          22          1.363         909423
      3571          54          23          1.379        1307356
      3572          54          24          1.399        1792924
      3573          54          25          1.422        2099715
      3574          54          26          1.440        1864410
      3575          54          27          1.448        1269715
      3576          54          28          1.430         705014
      3577          54          29          1.378         403908
      3578          54          30          1.343         294590
      3579          54          31          1.334         224487
      3580          54          32          1.328         156082
      3581          54          33          1.336          89681
      3582          54          34          1.375          46749
      3583          54          35          1.420          33639
      3584          54          36          1.401          47608
      3585          54          37          1.374         108875
      3586          54          38          1.369         253264
      3587          54          39          1.374         426849
      3588          54          40          1.382         337813
      3589          54          41          1.392          75745
      3590          54          42          1.435           3214
      3591          54          43          1.584            204
      3592          54          44          1.577             32
      3593          55           5          1.754              2
      3594          55           6          1.685             18
      3595          55           7          1.688             73
      3596          55           8          1.671            411
      3597          55           9          1.623           1088
      3598          55          10          1.581           2574
      3599          55          11          1.551           4425
      3600          55          12          1.525           5800
      3601          55          13          1.519           6337
      3602          55          14          1.527           6506
      3603          55          15          1.358           9253
      3604          55          16          1.181          36521
      3605          55          17          1.148         105969
      3606          55          18          1.178         213023
      3607          55          19          1.262         313789
      3608          55          20          1.349         477202
      3609          55          21          1.386         709580
      3610          55          22          1.394         988144
      3611          55          23          1.402        1397598
      3612          55          24          1.421        1785784
      3613          55          25          1.436        1816405
      3614          55          26          1.443        1270116
      3615          55          27          1.431         706151
      3616          55          28          1.386         388423
      3617          55          29          1.345         259446
      3618          55          30          1.337         187054
      3619          55          31          1.340         121625
      3620          55          32          1.358          67203
      3621          55          33          1.402          34869
      3622          55          34          1.459          23220
      3623          55          35          1.459          20708
      3624          55          36          1.391          39026
      3625          55          37          1.368          99991
      3626          55          38          1.370         236292
      3627          55          39          1.380         298095
      3628          55          40          1.392         128266
      3629          55          41          1.406          10301
      3630          55          42          1.531            286
      3631          55          43          1.584             28
      3632          56           5          1.773              1
      3633          56           6          1.625             14
      3634          56           7          1.696             61
      3635          56           8          1.621            307
      3636          56           9          1.596            818
      3637          56          10          1.563           2026
      3638          56          11          1.534           3055
      3639          56          12          1.520           3968
      3640          56          13          1.531           4206
      3641          56          14          1.485           5044
      3642          56          15          1.278          22256
      3643          56          16          1.196          80868
      3644          56          17          1.205         179983
      3645          56          18          1.276         286197
      3646          56          19          1.380         434162
      3647          56          20          1.418         614549
      3648          56          21          1.419         780628
      3649          56          22          1.411        1057316
      3650          56          23          1.420        1428671
      3651          56          24          1.436        1604790
      3652          56          25          1.440        1289311
      3653          56          26          1.430         703835
      3654          56          27          1.393         375867
      3655          56          28          1.350         239784
      3656          56          29          1.337         163114
      3657          56          30          1.346         102225
      3658          56          31          1.372          55679
      3659          56          32          1.427          29434
      3660          56          33          1.482          20407
      3661          56          34          1.521          14058
      3662          56          35          1.486          11777
      3663          56          36          1.385          34657
      3664          56          37          1.372          94364
      3665          56          38          1.378         150288
      3666          56          39          1.390         101680
      3667          56          40          1.400          19664
      3668          56          41          1.465            470
      3669          56          42          1.614             24
      3670          56          43          1.617              1
      3671          57           5          1.675              8
      3672          57           6          1.686             12
      3673          57           7          1.646             78
      3674          57           8          1.626            258
      3675          57           9          1.592            682
      3676          57          10          1.549           1553
      3677          57          11          1.533           2461
      3678          57          12          1.528           3120
      3679          57          13          1.533           3658
      3680          57          14          1.410          12376
      3681          57          15          1.276          54845
      3682          57          16          1.225         138439
      3683          57          17          1.296         249602
      3684          57          18          1.407         415660
      3685          57          19          1.451         596837
      3686          57          20          1.445         671829
      3687          57          21          1.428         811942
      3688          57          22          1.421        1108073
      3689          57          23          1.433        1340474
      3690          57          24          1.441        1187308
      3691          57          25          1.432         738289
      3692          57          26          1.401         372311
      3693          57          27          1.357         226754
      3694          57          28          1.336         148247
      3695          57          29          1.348          89554
      3696          57          30          1.387          47439
      3697          57          31          1.443          26068
      3698          57          32          1.493          20150
      3699          57          33          1.526          13602
      3700          57          34          1.558           7715
      3701          57          35          1.477           9196
      3702          57          36          1.387          34407
      3703          57          37          1.383          55066
      3704          57          38          1.390          42783
      3705          57          39          1.401          13196
      3706          57          40          1.434            772
      3707          57          41          1.579             28
      3708          57          42          1.620              1
      3709          58           4          1.775              1
      3710          58           5          1.686              3
      3711          58           6          1.627             20
      3712          58           7          1.658             86
      3713          58           8          1.607            224
      3714          58           9          1.569            589
      3715          58          10          1.554           1401
      3716          58          11          1.534           2087
      3717          58          12          1.534           2775
      3718          58          13          1.498           7003
      3719          58          14          1.357          33660
      3720          58          15          1.266          94581
      3721          58          16          1.285         191283
      3722          58          17          1.418         372808
      3723          58          18          1.471         587133
      3724          58          19          1.469         637337
      3725          58          20          1.447         651155
      3726          58          21          1.426         843176
      3727          58          22          1.431        1077003
      3728          58          23          1.440        1046098
      3729          58          24          1.436         720556
      3730          58          25          1.409         399814
      3731          58          26          1.364         218071
      3732          58          27          1.338         134391
      3733          58          28          1.347          79486
      3734          58          29          1.395          42282
      3735          58          30          1.458          23934
      3736          58          31          1.501          17815
      3737          58          32          1.528          12848
      3738          58          33          1.566           7540
      3739          58          34          1.568           5687
      3740          58          35          1.459           7979
      3741          58          36          1.404          15265
      3742          58          37          1.398          10964
      3743          58          38          1.409           3968
      3744          58          39          1.450            440
      3745          58          40          1.581             19
      3746          58          41          1.628              1
      3747          59           4          1.743              1
      3748          59           5          1.611              8
      3749          59           6          1.662             36
      3750          59           7          1.679             91
      3751          59           8          1.579            156
      3752          59           9          1.564            458
      3753          59          10          1.551           1052
      3754          59          11          1.529           1783
      3755          59          12          1.507           3866
      3756          59          13          1.413          16972
      3757          59          14          1.307          55647
      3758          59          15          1.275         124566
      3759          59          16          1.365         254327
      3760          59          17          1.465         508876
      3761          59          18          1.473         587086
      3762          59          19          1.461         551960
      3763          59          20          1.436         634734
      3764          59          21          1.430         826434
      3765          59          22          1.438         860578
      3766          59          23          1.437         665763
      3767          59          24          1.418         392430
      3768          59          25          1.375         220638
      3769          59          26          1.341         125401
      3770          59          27          1.346          70671
      3771          59          28          1.397          36598
      3772          59          29          1.466          21542
      3773          59          30          1.506          15855
      3774          59          31          1.531          11524
      3775          59          32          1.566           7323
      3776          59          33          1.588           5262
      3777          59          34          1.570           3547
      3778          59          35          1.504           2927
      3779          59          36          1.465           1864
      3780          59          37          1.490            785
      3781          59          38          1.534            178
      3782          59          39          1.602             15
      3783          60           4          1.667              1
      3784          60           5          1.738              3
      3785          60           6          1.702             26
      3786          60           7          1.636             39
      3787          60           8          1.576            123
      3788          60           9          1.556            382
      3789          60          10          1.546           1002
      3790          60          11          1.490           1938
      3791          60          12          1.406           6910
      3792          60          13          1.320          28357
      3793          60          14          1.254          73157
      3794          60          15          1.308         162947
      3795          60          16          1.414         344770
      3796          60          17          1.465         509035
      3797          60          18          1.468         472340
      3798          60          19          1.451         500220
      3799          60          20          1.437         607990
      3800          60          21          1.436         668809
      3801          60          22          1.435         564066
      3802          60          23          1.423         371558
      3803          60          24          1.389         214526
      3804          60          25          1.354         122396
      3805          60          26          1.348          62456
      3806          60          27          1.393          31198
      3807          60          28          1.467          18759
      3808          60          29          1.508          14934
      3809          60          30          1.534          11314
      3810          60          31          1.564           7256
      3811          60          32          1.589           4855
      3812          60          33          1.598           3217
      3813          60          34          1.595           1767
      3814          60          35          1.585            686
      3815          60          36          1.576            387
      3816          60          37          1.578            103
      3817          60          38          1.600             12
      3818          60          39          1.621              1
      3819          61           4          1.492              1
      3820          61           5          1.681              8
      3821          61           6          1.691             18
      3822          61           7          1.658             28
      3823          61           8          1.584            120
      3824          61           9          1.560            437
      3825          61          10          1.546           1045
      3826          61          11          1.441           2698
      3827          61          12          1.293          11841
      3828          61          13          1.224          36732
      3829          61          14          1.257          90318
      3830          61          15          1.352         214188
      3831          61          16          1.410         347127
      3832          61          17          1.454         386485
      3833          61          18          1.459         402588
      3834          61          19          1.445         477482
      3835          61          20          1.436         517754
      3836          61          21          1.432         468527
      3837          61          22          1.426         341446
      3838          61          23          1.403         210566
      3839          61          24          1.373         118100
      3840          61          25          1.357          59212
      3841          61          26          1.387          25895
      3842          61          27          1.467          14222
      3843          61          28          1.510          12793
      3844          61          29          1.530          11178
      3845          61          30          1.563           6982
      3846          61          31          1.587           4701
      3847          61          32          1.604           3444
      3848          61          33          1.607           1891
      3849          61          34          1.599            772
      3850          61          35          1.586            344
      3851          61          36          1.591             85
      3852          61          37          1.605             15
      3853          62           5          1.737             17
      3854          62           6          1.703             22
      3855          62           7          1.616             27
      3856          62           8          1.602            128
      3857          62           9          1.601            404
      3858          62          10          1.540           1217
      3859          62          11          1.349           3857
      3860          62          12          1.187          15799
      3861          62          13          1.202          41513
      3862          62          14          1.289         111531
      3863          62          15          1.337         207284
      3864          62          16          1.392         258632
      3865          62          17          1.446         300099
      3866          62          18          1.444         379557
      3867          62          19          1.436         424315
      3868          62          20          1.430         393415
      3869          62          21          1.427         319084
      3870          62          22          1.418         214168
      3871          62          23          1.396         117935
      3872          62          24          1.373          55326
      3873          62          25          1.389          23059
      3874          62          26          1.467          11565
      3875          62          27          1.514          10490
      3876          62          28          1.529           9903
      3877          62          29          1.560           7023
      3878          62          30          1.588           4915
      3879          62          31          1.604           3685
      3880          62          32          1.612           2249
      3881          62          33          1.600            850
      3882          62          34          1.582            307
      3883          62          35          1.597             76
      3884          62          36          1.622             13
      3885          63           4          1.773              2
      3886          63           5          1.750             11
      3887          63           6          1.780              3
      3888          63           7          1.617             27
      3889          63           8          1.584            109
      3890          63           9          1.629            349
      3891          63          10          1.477           1181
      3892          63          11          1.236           4895
      3893          63          12          1.171          18681
      3894          63          13          1.205          50458
      3895          63          14          1.252         103377
      3896          63          15          1.312         153817
      3897          63          16          1.399         195798
      3898          63          17          1.429         272894
      3899          63          18          1.425         342938
      3900          63          19          1.424         338693
      3901          63          20          1.428         292361
      3902          63          21          1.431         218099
      3903          63          22          1.425         124711
      3904          63          23          1.405          53185
      3905          63          24          1.402          20826
      3906          63          25          1.469          11217
      3907          63          26          1.514           9104
      3908          63          27          1.532           8794
      3909          63          28          1.557           6592
      3910          63          29          1.588           5345
      3911          63          30          1.604           4081
      3912          63          31          1.613           2341
      3913          63          32          1.606            906
      3914          63          33          1.590            309
      3915          63          34          1.594             85
      3916          63          35          1.603              7
      3917          64           5          1.739              3
      3918          64           6          1.617              2
      3919          64           7          1.613             17
      3920          64           8          1.629            123
      3921          64           9          1.564            184
      3922          64          10          1.369           1249
      3923          64          11          1.202           7055
      3924          64          12          1.187          24661
      3925          64          13          1.209          52504
      3926          64          14          1.264          88859
      3927          64          15          1.352         124969
      3928          64          16          1.411         194218
      3929          64          17          1.416         270772
      3930          64          18          1.420         296499
      3931          64          19          1.428         275946
      3932          64          20          1.441         223052
      3933          64          21          1.448         137810
      3934          64          22          1.445          58713
      3935          64          23          1.431          21054
      3936          64          24          1.473          11014
      3937          64          25          1.511           8913
      3938          64          26          1.532           8069
      3939          64          27          1.554           6588
      3940          64          28          1.585           5571
      3941          64          29          1.601           4609
      3942          64          30          1.611           2968
      3943          64          31          1.598           1027
      3944          64          32          1.589            311
      3945          64          33          1.578             82
      3946          64          34          1.557              2
      3947          65           4          1.772              5
      3948          65           5          1.434              1
      3949          65           6          1.438              4
      3950          65           7          1.509             19
      3951          65           8          1.475             44
      3952          65           9          1.449            255
      3953          65          10          1.274           1823
      3954          65          11          1.197           9694
      3955          65          12          1.205          28167
      3956          65          13          1.250          52171
      3957          65          14          1.328          83843
      3958          65          15          1.393         129905
      3959          65          16          1.412         204971
      3960          65          17          1.418         243414
      3961          65          18          1.427         244114
      3962          65          19          1.445         216571
      3963          65          20          1.463         148494
      3964          65          21          1.473          69911
      3965          65          22          1.466          24738
      3966          65          23          1.484          11371
      3967          65          24          1.512           8705
      3968          65          25          1.532           7206
      3969          65          26          1.552           6096
      3970          65          27          1.580           5242
      3971          65          28          1.599           4426
      3972          65          29          1.605           3183
      3973          65          30          1.600           1260
      3974          65          31          1.585            373
      3975          65          32          1.575             80
      3976          65          33          1.571              5
      3977          66           4          1.607              3
      3978          66           5          1.565              3
      3979          66           6          1.469             13
      3980          66           7          1.444             32
      3981          66           8          1.460             78
      3982          66           9          1.386            305
      3983          66          10          1.237           2639
      3984          66          11          1.227          11951
      3985          66          12          1.263          29280
      3986          66          13          1.334          52906
      3987          66          14          1.388          85133
      3988          66          15          1.412         135963
      3989          66          16          1.420         187442
      3990          66          17          1.427         206927
      3991          66          18          1.447         193042
