Date,Qobs,Qmhm,Qmhm_mat,Melt_total
10/5/2009,65.7,57.97989193,41.5022647,9.366
10/6/2009,64.5,57.23726125,42.6386389,14.979
10/7/2009,72,57.6986433,46.3609235,16.834
10/8/2009,83.6,59.29806047,50.1942247,16.013
10/9/2009,96.2,60.72796542,53.1020409,13.514
10/10/2009,92.2,63.26581787,56.9606269,7.302
10/11/2009,78.7,65.56486924,58.3632631,6.153
10/12/2009,73.4,63.77152162,54.6324534,7.84
10/13/2009,78.4,62.30956182,51.883588,7.704
10/14/2009,72.7,61.03349678,49.7434275,7.146
10/15/2009,69.4,59.78429075,47.9831251,6.796
10/16/2009,67.7,58.53995183,45.9576252,6.43
10/17/2009,72.9,57.30484045,44.0495405,6.269
10/18/2009,79,56.48258578,42.5624581,5.65
10/19/2009,79.1,55.63152048,41.8413382,8.86
10/20/2009,80.6,55.08749129,42.2736736,7.692
10/21/2009,70.5,54.81664832,43.0658876,9.898
10/22/2009,69,55.32859687,44.6034071,12.037
10/23/2009,75.3,62.59256684,53.311614,7.406
10/24/2009,82.5,71.48822109,61.8044862,9.353
10/25/2009,73.4,73.46977367,62.1765363,10.395
10/26/2009,98,76.32795305,63.6275204,12.42
10/27/2009,107,79.4436095,65.7494242,10.554
10/28/2009,103,86.25309057,69.8404942,13.571
10/29/2009,136,99.07219601,77.3387101,16.062
10/30/2009,143,114.9349935,86.1611526,14.579
10/31/2009,152,130.3554326,93.1615062,11.428
11/1/2009,137,141.7026579,98.15329,7.384
11/2/2009,119,160.107446,111.8792142,3.268
11/3/2009,113,180.9482921,128.1103816,1.408
11/4/2009,116,173.6133888,119.8284143,0.909
11/5/2009,115,152.375854,101.1066291,1.862
11/6/2009,121,137.5346201,89.0340444,0.949
11/7/2009,116,125.7793647,80.2562797,0.435
11/8/2009,116,115.3391204,73.257606,0
11/9/2009,108,108.8058558,68.1815906,0
11/10/2009,104,105.8876076,64.6142813,1.881
11/11/2009,106,104.9315878,62.8388512,4.272
11/12/2009,116,107.0408387,63.4538563,4.795
11/13/2009,127,111.4660276,65.3671856,3.478
11/14/2009,134,116.1160295,67.6664749,5.062
11/15/2009,144,122.3570192,70.0567541,0.526
11/16/2009,145,131.9669253,73.5698309,0.07
11/17/2009,120,145.8971869,81.2122333,0
11/18/2009,110,157.7607332,89.7767718,0.139
11/19/2009,101,156.4160169,88.3534921,0
11/20/2009,94.5,153.040893,85.556726,0
11/21/2009,93.8,159.5315938,91.6145577,0
11/22/2009,97,164.1478956,99.790697,0
11/23/2009,111,169.8075902,110.6957717,0.032
11/24/2009,134,178.0123886,121.4074822,0
11/25/2009,137,181.8616568,126.7926539,0
11/26/2009,134,184.7021459,130.2064145,0.267
11/27/2009,139,186.5713117,132.5758455,0.166
11/28/2009,165,190.646277,136.7524203,0.019
11/29/2009,150,192.093076,138.7821218,0.001
11/30/2009,133,190.3768943,137.8976052,0
12/1/2009,140,187.9533653,136.0941001,0
12/2/2009,138,188.1827612,137.2432006,0
12/3/2009,160,193.1328169,143.2777693,0.732
12/4/2009,172,202.1331038,153.0435359,0.101
12/5/2009,171,210.6832689,161.4346985,0
12/6/2009,182,213.2716555,164.1526808,0
12/7/2009,171,209.7959901,160.6286006,0
12/8/2009,159,202.6631952,153.8253106,0
12/9/2009,161,199.9842666,151.8665486,0.26
12/10/2009,178,206.1453295,158.609443,0.023
12/11/2009,193,214.9974697,167.1825651,0.082
12/12/2009,193,223.3201032,177.0220321,1.649
12/13/2009,205,237.6625713,188.2728491,0.838
12/14/2009,192,243.2724589,188.912078,1.477
12/15/2009,198,243.1540315,190.0363824,1.53
12/16/2009,226,246.1238394,193.8941874,2.246
12/17/2009,231,250.5445049,198.8288332,2.029
12/18/2009,235,257.7378663,206.4633196,1.264
