Date,Qobs
11/23/2016,1.84
11/24/2016,1.82
11/25/2016,1.72
11/26/2016,1.68
11/27/2016,1.7
11/28/2016,1.72
11/29/2016,1.76
11/30/2016,1.76
12/1/2016,1.95
12/2/2016,2.11
12/3/2016,2.22
12/4/2016,2.83
12/5/2016,2.68
12/6/2016,2.44
12/7/2016,2.51
12/8/2016,2.27
12/9/2016,2.27
12/10/2016,2.17
12/11/2016,1.99
12/12/2016,2.55
12/13/2016,2.45
12/14/2016,1.79
12/15/2016,3.28
12/16/2016,5.83
12/17/2016,7.31
12/18/2016,8.12
12/19/2016,7.79
12/20/2016,12.3
12/21/2016,13.3
12/22/2016,12.5
12/23/2016,6.15
12/24/2016,5.57
12/25/2016,4.23
12/26/2016,1.64
12/27/2016,1.51
12/28/2016,1.69
12/29/2016,5.21
12/30/2016,4.57
12/31/2016,7.18
1/1/2017,7.37
1/2/2017,10.2
1/3/2017,8.28
1/4/2017,4.93
1/5/2017,9.66
1/6/2017,6.85
1/7/2017,7.66
1/8/2017,8.64
1/9/2017,6.52
1/10/2017,2.77
1/11/2017,1.61
1/12/2017,3.21
1/13/2017,5.14
1/14/2017,5.69
1/15/2017,5.15
1/16/2017,5.55
1/17/2017,7.95
1/18/2017,15.9
1/19/2017,15.1
1/20/2017,14.5
1/21/2017,15.3
1/22/2017,16
1/23/2017,13.2
1/24/2017,15.4
1/25/2017,16.5
1/26/2017,18.8
1/27/2017,17.6
1/28/2017,13
1/29/2017,13
1/30/2017,18.5
1/31/2017,7.42
2/1/2017,10.1
2/2/2017,6.38
2/3/2017,1.86
2/4/2017,0.741
2/5/2017,0.562
2/6/2017,1.13
2/7/2017,1.13
2/8/2017,0.854
2/9/2017,0.954
2/10/2017,0.657
2/11/2017,0.883
2/12/2017,1.68
2/13/2017,2.85
2/14/2017,2.16
2/15/2017,1.76
2/16/2017,1.16
2/17/2017,0.813
2/18/2017,0.611
2/19/2017,1.23
2/20/2017,3.92
2/21/2017,7.48
2/22/2017,11.5
2/23/2017,13.9
2/24/2017,13.9
2/25/2017,5.12
2/26/2017,1.31
2/27/2017,0.925
2/28/2017,0.861
3/1/2017,2.85
3/2/2017,0.903
3/3/2017,0.754
3/4/2017,0.638
3/5/2017,0.642
3/6/2017,0.67
3/7/2017,0.722
3/8/2017,0.761
3/9/2017,0.711
3/10/2017,0.714
3/11/2017,0.779
3/12/2017,0.695
3/13/2017,0.919
3/14/2017,0.734
3/15/2017,0.667
3/16/2017,0.748
3/17/2017,0.651
3/18/2017,0.605
3/19/2017,0.691
3/20/2017,0.689
3/21/2017,0.594
3/22/2017,0.661
3/23/2017,0.675
3/24/2017,0.619
3/25/2017,0.617
3/26/2017,0.614
3/27/2017,0.614
3/28/2017,0.609
3/29/2017,0.615
3/30/2017,0.614
3/31/2017,0.614
4/1/2017,1.09
4/2/2017,1.56
4/3/2017,1.63
4/4/2017,1.18
4/5/2017,0.87
4/6/2017,1.01
4/7/2017,0.924
4/8/2017,0.918
4/9/2017,0.911
4/10/2017,2.1
4/11/2017,1.34
4/12/2017,0.914
4/13/2017,0.871
4/14/2017,0.908
4/15/2017,1.06
4/16/2017,2.94
4/17/2017,3.75
4/18/2017,1.69
4/19/2017,1.41
4/20/2017,1.21
4/21/2017,1.7
4/22/2017,2.29
4/23/2017,1.78
4/24/2017,1.75
4/25/2017,1.44
4/26/2017,1.53
4/27/2017,1.68
4/28/2017,1.69
4/29/2017,1.65
4/30/2017,1.59
5/1/2017,1.69
5/2/2017,1.88
5/3/2017,1.63
5/4/2017,1.47
5/5/2017,1.7
5/6/2017,1.6
5/7/2017,1.56
5/8/2017,1.55
5/9/2017,1.51
5/10/2017,1.55
5/11/2017,1.58
5/12/2017,1.47
5/13/2017,1.53
5/14/2017,1.47
5/15/2017,1.48
5/16/2017,1.35
5/17/2017,1.32
5/18/2017,1.38
5/19/2017,1.14
5/20/2017,1.19
5/21/2017,1.41
5/22/2017,1.46
5/23/2017,1.47
5/24/2017,1.43
5/25/2017,1.41
5/26/2017,1.48
5/27/2017,1.53
5/28/2017,1.36
5/29/2017,1.59
5/30/2017,1.62
5/31/2017,1.56
6/1/2017,0.415
6/2/2017,0.428
6/3/2017,0.416
6/4/2017,0.421
6/5/2017,0.406
6/6/2017,0.398
6/7/2017,0.404
6/8/2017,0.434
6/9/2017,0.419
6/10/2017,0.43
6/11/2017,0.426
6/12/2017,0.432
6/13/2017,0.441
6/14/2017,0.443
6/15/2017,0.451
6/16/2017,0.694
6/17/2017,0.654
6/18/2017,0.472
6/19/2017,0.484
6/20/2017,0.513
6/21/2017,0.5
6/22/2017,0.513
6/23/2017,0.618
6/24/2017,0.586
6/25/2017,0.61
6/26/2017,0.594
6/27/2017,0.591
6/28/2017,0.564
6/29/2017,0.554
6/30/2017,0.574
7/1/2017,0.589
7/2/2017,0.593
7/3/2017,0.572
7/4/2017,0.557
7/5/2017,0.566
7/6/2017,0.595
7/7/2017,0.594
7/8/2017,0.579
7/9/2017,0.569
7/10/2017,0.577
7/11/2017,0.579
7/12/2017,0.551
7/13/2017,0.546
7/14/2017,0.536
7/15/2017,0.506
7/16/2017,0.528
7/17/2017,0.413
7/18/2017,0.45
7/19/2017,0.456
7/20/2017,0.496
7/21/2017,0.498
7/22/2017,0.481
7/23/2017,0.518
7/24/2017,0.513
7/25/2017,0.51
7/26/2017,0.523
7/27/2017,0.531
7/28/2017,0.546
7/29/2017,0.536
7/30/2017,0.541
7/31/2017,0.541
8/1/2017,0.548
8/2/2017,0.524
8/3/2017,0.534
8/4/2017,0.549
8/5/2017,0.546
8/6/2017,0.539
8/7/2017,0.536
8/8/2017,0.544
8/9/2017,0.543
8/10/2017,0.581
8/11/2017,0.556
8/12/2017,0.531
8/13/2017,0.536
8/14/2017,0.538
8/15/2017,0.546
8/16/2017,0.557
8/17/2017,0.557
8/18/2017,0.556
8/19/2017,0.58
8/20/2017,0.546
8/21/2017,0.586
8/22/2017,0.561
8/23/2017,0.543
8/24/2017,0.509
8/25/2017,0.499
8/26/2017,0.498
8/27/2017,0.508
8/28/2017,0.503
8/29/2017,0.518
8/30/2017,0.511
8/31/2017,0.526
9/1/2017,0.516
9/2/2017,0.531
9/3/2017,0.555
9/4/2017,0.604
9/5/2017,0.455
9/6/2017,0.479
9/7/2017,0.497
9/8/2017,0.526
9/9/2017,0.516
9/10/2017,0.525
9/11/2017,0.516
9/12/2017,0.528
9/13/2017,0.518
9/14/2017,0.53
9/15/2017,0.514
9/16/2017,0.561
9/17/2017,0.601
9/18/2017,0.658
9/19/2017,0.735
9/20/2017,0.658
9/21/2017,0.641
9/22/2017,0.658
9/23/2017,0.709
9/24/2017,0.714
9/25/2017,0.699
9/26/2017,0.724
9/27/2017,0.65
9/28/2017,0.763
9/29/2017,0.734
9/30/2017,0.771
10/1/2017,0.796
10/2/2017,0.648
10/3/2017,0.715
10/4/2017,0.642
10/5/2017,0.687
10/6/2017,0.737
10/7/2017,0.761
10/8/2017,0.714
10/9/2017,0.718
10/10/2017,0.739
10/11/2017,0.658
10/12/2017,0.646
10/13/2017,0.609
10/14/2017,0.661
10/15/2017,0.736
10/16/2017,0.645
10/17/2017,0.643
10/18/2017,0.685
10/19/2017,0.69
10/20/2017,0.698
10/21/2017,0.751
10/22/2017,0.814
10/23/2017,0.795
10/24/2017,0.794
10/25/2017,0.88
10/26/2017,0.813
10/27/2017,0.797
10/28/2017,0.793
10/29/2017,0.762
10/30/2017,0.81
10/31/2017,0.751
11/1/2017,0.728
11/2/2017,0.778
11/3/2017,0.752
11/4/2017,0.723
11/5/2017,0.767
11/6/2017,0.689
11/7/2017,0.713
11/8/2017,0.733
11/9/2017,0.765
11/10/2017,1.14
11/11/2017,0.842
11/12/2017,1.58
11/13/2017,1.76
11/14/2017,4.28
11/15/2017,1.53
11/16/2017,1.78
11/17/2017,1.21
11/18/2017,0.865
11/19/2017,1.15
11/20/2017,1.07
11/21/2017,0.946
11/22/2017,1.05
11/23/2017,1.29
11/24/2017,1.6
11/25/2017,1.55
11/26/2017,1.11
11/27/2017,1.09
11/28/2017,1.4
11/29/2017,1.1
11/30/2017,1.18
12/1/2017,12.2
12/2/2017,0.758
12/3/2017,0.978
12/4/2017,0.719
12/5/2017,0.757
12/6/2017,0.685
12/7/2017,0.903
12/8/2017,0.976
12/9/2017,1.13
12/10/2017,2.21
12/11/2017,6.9
12/12/2017,6.67
12/13/2017,3.31
12/14/2017,2.42
12/15/2017,4.61
12/16/2017,3.76
12/17/2017,1.77
12/18/2017,1.51
12/19/2017,2.03
12/20/2017,3.31
12/21/2017,4.65
12/22/2017,3.43
12/23/2017,2.4
12/24/2017,2.4
12/25/2017,4.17
12/26/2017,3.33
12/27/2017,2.86
12/28/2017,2.92
12/29/2017,7.64
12/30/2017,10.1
12/31/2017,4.97
1/1/2018,5.27
1/2/2018,3.65
1/3/2018,1.28
1/4/2018,2.41
1/5/2018,1.43
1/6/2018,2.96
1/7/2018,6.49
1/8/2018,8.25
1/9/2018,5.33
1/10/2018,4.29
1/11/2018,5.49
1/12/2018,8.34
1/13/2018,2.79
1/14/2018,1.27
1/15/2018,0.603
1/16/2018,1.12
1/17/2018,1.87
1/18/2018,2.78
1/19/2018,2.79
1/20/2018,3.48
1/21/2018,1.82
1/22/2018,1.55
1/23/2018,1.32
1/24/2018,2.37
1/25/2018,2.45
1/26/2018,2.18
1/27/2018,2.36
1/28/2018,4.99
1/29/2018,7.49
1/30/2018,7.78
1/31/2018,9.25
2/1/2018,13.1
2/2/2018,40.2
2/3/2018,66.4
2/4/2018,69.7
2/5/2018,106
2/6/2018,80.5
2/7/2018,46.1
2/8/2018,29.9
2/9/2018,9.63
2/10/2018,6.84
2/11/2018,10.9
2/12/2018,14.4
2/13/2018,26.7
2/14/2018,20.5
2/15/2018,24.1
2/16/2018,21
2/17/2018,18.4
2/18/2018,13.6
2/19/2018,4.29
2/20/2018,4.39
2/21/2018,4.54
2/22/2018,6.8
2/23/2018,3.09
2/24/2018,1.12
2/25/2018,2.38
2/26/2018,3.48
2/27/2018,3.36
2/28/2018,1.8
3/1/2018,1.53
3/2/2018,1.91
3/3/2018,2.2
3/4/2018,1.28
3/5/2018,1.32
3/6/2018,2.38
3/7/2018,2.24
3/8/2018,1.33
3/9/2018,0.859
3/10/2018,1.25
3/11/2018,1.15
3/12/2018,1.24
3/13/2018,0.956
3/14/2018,0.691
3/15/2018,1.02
3/16/2018,1.13
3/17/2018,0.971
3/18/2018,0.783
3/19/2018,0.694
3/20/2018,0.719
3/21/2018,0.707
3/22/2018,0.722
3/23/2018,0.657
3/24/2018,0.645
3/25/2018,0.775
3/26/2018,0.654
3/27/2018,0.744
3/28/2018,0.575
3/29/2018,0.786
3/30/2018,0.844
3/31/2018,1.01
4/1/2018,1.04
4/2/2018,0.902
4/3/2018,1.23
4/4/2018,0.94
4/5/2018,0.701
4/6/2018,0.609
4/7/2018,0.7
4/8/2018,0.7
4/9/2018,0.645
4/10/2018,0.585
4/11/2018,0.667
4/12/2018,0.656
4/13/2018,0.663
4/14/2018,0.688
4/15/2018,0.654
4/16/2018,0.739
4/17/2018,0.962
4/18/2018,0.587
4/19/2018,0.769
4/20/2018,0.74
4/21/2018,0.614
4/22/2018,0.586
4/23/2018,0.61
4/24/2018,0.557
4/25/2018,0.571
4/26/2018,0.54
4/27/2018,0.53
4/28/2018,0.474
4/29/2018,0.452
4/30/2018,0.612
5/1/2018,0.701
5/2/2018,0.73
5/3/2018,0.809
5/4/2018,0.823
5/5/2018,0.78
5/6/2018,0.848
5/7/2018,0.738
5/8/2018,0.771
5/9/2018,0.661
5/10/2018,0.667
5/11/2018,0.721
5/12/2018,0.804
5/13/2018,0.794
5/14/2018,0.751
5/15/2018,0.783
5/16/2018,0.825
5/17/2018,0.842
5/18/2018,0.851
5/19/2018,0.79
5/20/2018,0.55
5/21/2018,0.486
5/22/2018,0.425
5/23/2018,0.414
5/24/2018,0.528
5/25/2018,0.599
5/26/2018,0.715
5/27/2018,0.648
5/28/2018,0.475
5/29/2018,0.709
5/30/2018,0.634
5/31/2018,0.566
6/1/2018,0.682
6/2/2018,0.66
6/3/2018,0.693
6/4/2018,0.782
6/5/2018,0.743
6/6/2018,0.711
6/7/2018,0.775
6/8/2018,0.724
6/9/2018,0.733
6/10/2018,0.761
6/11/2018,0.746
6/12/2018,0.754
6/13/2018,0.696
6/14/2018,0.674
6/15/2018,0.769
6/16/2018,0.745
6/17/2018,0.775
6/18/2018,0.767
6/19/2018,0.725
6/20/2018,0.79
6/21/2018,0.729
6/22/2018,0.74
6/23/2018,0.725
6/24/2018,0.806
6/25/2018,0.754
