Area,Elevation,Area1,Elevation1,Area2,Elevation2,Area3,Elevation3,Area4,Elevation4,Area5,Elevation5
,,,,220000,5650,7500,5930,224375,5220,,
,,,,199375,5660,8125,5940,229375,5230,,
,,,,201875,5670,10625,5950,223750,5240,,
,,,,223750,5680,6875,5960,214375,5250,,
,,,,220000,5690,7500,5970,213125,5260,,
,,,,178750,5700,6875,5980,215625,5270,,
,,,,144375,5710,3125,5990,207500,5280,,
,,,,118125,5720,1875,6000,226250,5290,,
,,,,104375,5730,3125,6010,216250,5300,,
,,,,88125,5740,2500,6020,222500,5310,,
,,,,97500,5750,6250,6030,227500,5320,,
,,,,91250,5760,3125,6040,231250,5330,,
,,,,73125,5770,3125,6050,223750,5340,,
,,,,61875,5780,625,6060,208125,5350,,
,,,,37500,5790,5000,6070,191250,5360,,
,,,,33750,5800,1875,6080,193125,5370,,
,,,,23750,5810,,,175625,5380,,
,,,,24375,5820,,,172500,5390,,
,,,,26250,5830,,,169375,5400,,
,,,,24375,5840,,,171875,5410,,
,,,,30625,5850,,,170000,5420,,
,,,,26250,5860,,,166250,5430,,
,,,,23125,5870,,,163125,5440,,
,,,,26875,5880,,,157500,5450,,
,,,,22500,5890,,,167500,5460,,
,,,,29375,5900,,,153125,5470,,
,,,,28125,5910,,,131875,5480,,
,,,,25000,5920,,,145000,5490,,
,,,,20625,5930,,,148125,5500,,
,,,,20000,5940,,,151875,5510,,
,,,,18750,5950,,,143750,5520,,
,,,,18750,5960,,,151875,5530,,
,,,,23125,5970,,,152500,5540,,
,,,,25625,5980,,,150000,5550,,
,,,,23125,5990,,,136875,5560,,
,,,,18750,6000,,,149375,5570,,
,,,,20000,6010,,,146875,5580,,
,,,,21250,6020,,,140625,5590,,
,,,,21250,6030,,,148750,5600,,
,,,,20000,6040,,,161250,5610,,
,,,,14375,6050,,,160000,5620,,
,,,,15000,6060,,,103125,5630,,
,,,,15000,6070,,,86875,5640,,
,,,,13750,6080,,,90000,5650,,
,,,,12500,6090,,,65625,5660,,
,,,,13125,6100,,,71875,5670,,
,,,,13125,6110,,,57500,5680,,
,,,,15000,6120,,,55000,5690,,
,,,,15000,6130,,,50000,5700,,
,,,,13750,6140,,,46875,5710,,
,,,,13125,6150,,,52500,5720,,
,,,,7500,6160,,,39375,5730,,
,,,,10625,6170,,,30625,5740,,
,,,,10000,6180,,,26250,5750,,
,,,,8750,6190,,,40625,5760,,
,,,,10625,6200,,,85625,5770,,
,,,,9375,6210,,,60625,5780,,
,,,,11875,6220,,,31875,5790,,
,,,,9375,6230,,,19375,5800,,
,,,,8750,6240,,,24375,5810,,
,,,,8125,6250,,,15000,5820,,
,,,,6875,6260,,,15625,5830,,
,,,,7500,6270,,,18125,5840,,
,,,,8750,6280,,,18125,5850,,
,,,,6875,6290,,,15000,5860,,
,,,,6875,6300,,,14375,5870,,
,,,,5625,6310,,,10625,5880,,
,,,,1875,6320,,,11250,5890,,
,,,,,,,,10625,5900,,
,,,,,,,,9375,5910,,
,,,,,,,,8125,5920,,
,,,,,,,,11875,5930,,
,,,,,,,,10000,5940,,
,,,,,,,,6250,5950,,
,,,,,,,,7500,5960,,
,,,,,,,,7500,5970,,
,,,,,,,,8125,5980,,
,,,,,,,,6875,5990,,
,,,,,,,,8125,6000,,
,,,,,,,,9375,6010,,
,,,,,,,,5625,6020,,
,,,,,,,,3750,6030,,
,,,,,,,,2500,6040,,
,,,,,,,,1875,6050,,
,,,,,,,,1250,6060,,
,,,,,,,,2500,6070,,
,,,,,,,,2500,6080,,
,,,,,,,,5000,6090,,
,,,,,,,,1250,6100,,
,,,,,,,,1250,6110,,
